2020-03-21 12:59:23 status half-installed liblzma5:amd64 5.2.4-1
2020-03-21 12:59:24 status unpacked liblzma5:amd64 5.2.4-1
2020-03-21 12:59:24 install libpcre3:amd64 <none> 2:8.39-12
2020-03-21 12:59:24 status half-installed libpcre3:amd64 2:8.39-12
2020-03-21 12:59:24 status unpacked libpcre3:amd64 2:8.39-12
2020-03-21 12:59:24 install libattr1:amd64 <none> 1:2.4.48-4
2020-03-21 12:59:24 status half-installed libattr1:amd64 1:2.4.48-4
2020-03-21 12:59:24 status unpacked libattr1:amd64 1:2.4.48-4
2020-03-21 12:59:24 install libacl1:amd64 <none> 2.2.53-4
2020-03-21 12:59:24 status half-installed libacl1:amd64 2.2.53-4
2020-03-21 12:59:24 status unpacked libacl1:amd64 2.2.53-4
2020-03-21 12:59:24 upgrade dpkg:amd64 1.19.7 1.19.7
2020-03-21 12:59:24 status half-configured dpkg:amd64 1.19.7
2020-03-21 12:59:24 status unpacked dpkg:amd64 1.19.7
2020-03-21 12:59:24 status half-installed dpkg:amd64 1.19.7
2020-03-21 12:59:24 status unpacked dpkg:amd64 1.19.7
2020-03-21 12:59:24 upgrade debconf:all 1.5.71 1.5.71
2020-03-21 12:59:24 status half-configured debconf:all 1.5.71
2020-03-21 12:59:24 status unpacked debconf:all 1.5.71
2020-03-21 12:59:24 status half-installed debconf:all 1.5.71
2020-03-21 12:59:24 status unpacked debconf:all 1.5.71
2020-03-21 12:59:24 install libpam0g:amd64 <none> 1.3.1-5
2020-03-21 12:59:24 status half-installed libpam0g:amd64 1.3.1-5
2020-03-21 12:59:24 status unpacked libpam0g:amd64 1.3.1-5
2020-03-21 12:59:24 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.5
2020-03-21 12:59:24 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.5
2020-03-21 12:59:24 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
2020-03-21 12:59:24 install libpam-modules-bin:amd64 <none> 1.3.1-5
2020-03-21 12:59:24 status half-installed libpam-modules-bin:amd64 1.3.1-5
2020-03-21 12:59:24 status unpacked libpam-modules-bin:amd64 1.3.1-5
2020-03-21 12:59:24 install libpam-modules:amd64 <none> 1.3.1-5
2020-03-21 12:59:24 status half-installed libpam-modules:amd64 1.3.1-5
2020-03-21 12:59:24 status unpacked libpam-modules:amd64 1.3.1-5
2020-03-21 12:59:24 install adduser:all <none> 3.118
2020-03-21 12:59:24 status half-installed adduser:all 3.118
2020-03-21 12:59:24 status unpacked adduser:all 3.118
2020-03-21 12:59:24 install libgpg-error0:amd64 <none> 1.35-1
2020-03-21 12:59:24 status half-installed libgpg-error0:amd64 1.35-1
2020-03-21 12:59:24 status unpacked libgpg-error0:amd64 1.35-1
2020-03-21 12:59:24 install libgcrypt20:amd64 <none> 1.8.4-5
2020-03-21 12:59:24 status half-installed libgcrypt20:amd64 1.8.4-5
2020-03-21 12:59:24 status unpacked libgcrypt20:amd64 1.8.4-5
2020-03-21 12:59:24 install gpgv:amd64 <none> 2.2.12-1+deb10u1
2020-03-21 12:59:24 status half-installed gpgv:amd64 2.2.12-1+deb10u1
2020-03-21 12:59:24 status unpacked gpgv:amd64 2.2.12-1+deb10u1
2020-03-21 12:59:24 install debian-archive-keyring:all <none> 2019.1
